"","theta",".chain",".iteration",".draw"
"1",-2.65115241561288,1,1,1
"2",-2.57207315927995,2,1,2
"3",-2.29826626544998,3,1,3
"4",-2.29826626544998,4,1,4
"5",-2.07090260254248,5,1,5
"6",-1.89200489147758,6,1,6
"7",-1.71322251923691,7,1,7
"8",-1.71322251923691,8,1,8
"9",-1.536889686651,9,1,9
"10",-1.40856383208734,10,1,10
"11",-1.35824484642021,11,1,11
"12",-1.30242225618829,12,1,12
"13",-1.30242225618829,13,1,13
"14",-1.25334815820526,14,1,14
"15",-1.25334815820526,15,1,15
"16",-1.25334815820526,16,1,16
"17",-1.25334815820526,17,1,17
"18",-1.03705371396018,18,1,18
"19",-0.972341291486361,19,1,19
"20",-0.972341291486361,20,1,20
"21",-0.903075743969675,21,1,21
"22",-0.903075743969675,22,1,22
"23",-0.848293891879778,23,1,23
"24",-0.823186131114819,24,1,24
"25",-0.788549246592435,25,1,25
"26",-0.779721187723361,26,1,26
"27",-0.779721187723361,27,1,27
"28",-0.779721187723361,28,1,28
"29",-0.779721187723361,29,1,29
"30",-0.779721187723361,30,1,30
"31",-0.623475139766024,31,1,31
"32",-0.623475139766024,32,1,32
"33",-0.543483827873619,33,1,33
"34",-0.518606952390149,34,1,34
"35",-0.466417063355465,35,1,35
"36",-0.449412010010337,36,1,36
"37",-0.409172407365512,37,1,37
"38",-0.39226259294207,38,1,38
"39",-0.39226259294207,39,1,39
"40",-0.321248306288467,40,1,40
"41",-0.321248306288467,41,1,41
"42",-0.281267383926948,42,1,42
"43",-0.271629251559728,43,1,43
"44",-0.271629251559728,44,1,44
"45",-0.213523400206523,45,1,45
"46",-0.18366448645265,46,1,46
"47",-0.157613121994941,47,1,47
"48",-0.157613121994941,48,1,48
"49",-0.157613121994941,49,1,49
"50",-0.157613121994941,50,1,50
"51",-0.157613121994941,51,1,51
"52",-0.0470656283897265,52,1,52
"53",-0.0317433326010291,53,1,53
"54",-0.0283944077012295,54,1,54
"55",-0.00863501164567689,55,1,55
"56",-0.00863501164567689,56,1,56
"57",0.0706674220325172,57,1,57
"58",0.0706674220325172,58,1,58
"59",0.0706674220325172,59,1,59
"60",0.161167418947515,60,1,60
"61",0.19468438910319,61,1,61
"62",0.19468438910319,62,1,62
"63",0.19468438910319,63,1,63
"64",0.212486663393428,64,1,64
"65",0.286336353066673,65,1,65
"66",0.36031444433325,66,1,66
"67",0.368583111082761,67,1,67
"68",0.407084494901646,68,1,68
"69",0.412437380570539,69,1,69
"70",0.453064024322951,70,1,70
"71",0.505273795106437,71,1,71
"72",0.54920206112483,72,1,72
"73",0.54920206112483,73,1,73
"74",0.54920206112483,74,1,74
"75",0.54920206112483,75,1,75
"76",0.598650623414855,76,1,76
"77",0.675815368298863,77,1,77
"78",0.722264263206719,78,1,78
"79",0.722264263206719,79,1,79
"80",0.757056459347721,80,1,80
"81",0.790605633248644,81,1,81
"82",0.790605633248644,82,1,82
"83",0.790605633248644,83,1,83
"84",0.859432959202921,84,1,84
"85",0.859432959202921,85,1,85
"86",0.911760189018815,86,1,86
"87",0.911760189018815,87,1,87
"88",1.01746615468525,88,1,88
"89",1.01746615468525,89,1,89
"90",1.01746615468525,90,1,90
"91",1.01746615468525,91,1,91
"92",1.19316761969282,92,1,92
"93",1.19316761969282,93,1,93
"94",1.37032926279232,94,1,94
"95",1.46092458601938,95,1,95
"96",1.46092458601938,96,1,96
"97",1.65723419793502,97,1,97
"98",1.65723419793502,98,1,98
"99",1.86429768597735,99,1,99
"100",2.11475442972754,100,1,100
