"","theta",".chain",".iteration",".draw"
"1",0.412437380570539,1,1,1
"2",-0.903075743969675,2,1,2
"3",-0.392919065784961,3,1,3
"4",1.56314766704457,4,1,4
"5",0.54920206112483,5,1,5
"6",0.757056459347721,6,1,6
"7",0.790605633248644,7,1,7
"8",-1.30242225618829,8,1,8
"9",-1.536889686651,9,1,9
"10",-0.205930851625591,10,1,10
"11",0.664527205779729,11,1,11
"12",-0.561296925831258,12,1,12
"13",-0.493569850038797,13,1,13
"14",-2.29826626544998,14,1,14
"15",-0.18366448645265,15,1,15
"16",-2.07090260254248,16,1,16
"17",-1.03101607322238,17,1,17
"18",-0.450834319823833,18,1,18
"19",-0.918105321361869,19,1,19
"20",-1.71322251923691,20,1,20
"21",-0.0506432007805534,21,1,21
"22",-1.44612008254568,22,1,22
"23",1.46092458601938,23,1,23
"24",1.65723419793502,24,1,24
"25",0.782215525252683,25,1,25
"26",0.786782399965279,26,1,26
"27",0.0404681049510718,27,1,27
"28",1.01377801643786,28,1,28
"29",2.30544363439893,29,1,29
"30",-1.89200489147758,30,1,30
"31",0.722264263206719,31,1,31
"32",-1.40856383208734,32,1,32
"33",2.11475442972754,33,1,33
"34",0.529545133260626,34,1,34
"35",0.54539174374303,35,1,35
"36",0.451658142968078,36,1,36
"37",-1.32892154303616,37,1,37
"38",0.340372218703981,38,1,38
"39",1.34904200328883,39,1,39
"40",-0.855200201895749,40,1,40
"41",0.859432959202921,41,1,41
"42",-0.39226259294207,42,1,42
"43",0.445722713917608,43,1,43
"44",-0.497945433465144,44,1,44
"45",-0.213523400206523,45,1,45
"46",0.539427234401435,46,1,46
"47",0.212486663393428,47,1,47
"48",0.505273795106437,48,1,48
"49",-2.39617962399576,49,1,49
"50",0.19468438910319,50,1,50
"51",0.675815368298863,51,1,51
"52",-2.65115241561288,52,1,52
"53",0.252247440515009,53,1,53
"54",-0.0317433326010291,54,1,54
"55",1.01042094259155,55,1,55
"56",0.286336353066673,56,1,56
"57",0.73550500050257,57,1,57
"58",0.505558128432106,58,1,58
"59",-0.22446281202761,59,1,59
"60",-0.928013253952663,60,1,60
"61",0.161167418947515,61,1,61
"62",-0.782546928839176,62,1,62
"63",-0.271629251559728,63,1,63
"64",-0.00863501164567689,64,1,64
"65",1.37032926279232,65,1,65
"66",-0.623475139766024,66,1,66
"67",-2.08986361180549,67,1,67
"68",-1.03705371396018,68,1,68
"69",1.19316761969282,69,1,69
"70",1.86429768597735,70,1,70
"71",-0.449412010010337,71,1,71
"72",-1.25334815820526,72,1,72
"73",0.598650623414855,73,1,73
"74",0.328378905860778,74,1,74
"75",-0.0283944077012295,75,1,75
"76",0.407084494901646,76,1,76
"77",-0.0470656283897265,77,1,77
"78",-0.281267383926948,78,1,78
"79",-0.409172407365512,79,1,79
"80",-0.321248306288467,80,1,80
"81",0.911760189018815,81,1,81
"82",-0.848293891879778,82,1,82
"83",-0.466417063355465,83,1,83
"84",-2.57207315927995,84,1,84
"85",0.532426952329087,85,1,85
"86",0.453064024322951,86,1,86
"87",-0.157613121994941,87,1,87
"88",0.36031444433325,88,1,88
"89",-0.823186131114819,89,1,89
"90",0.368583111082761,90,1,90
"91",-0.518606952390149,91,1,91
"92",0.5117985879245,92,1,92
"93",1.01746615468525,93,1,93
"94",-0.788549246592435,94,1,94
"95",-0.543483827873619,95,1,95
"96",-0.779721187723361,96,1,96
"97",-0.972341291486361,97,1,97
"98",0.0706674220325172,98,1,98
"99",-1.35824484642021,99,1,99
"100",1.8425374124877,100,1,100
